,summary,Winter,Herbst,Frühling,Sommer,word
winter fall,3.88123287588596,-0.03899269824149272,0.46245128281261133,-0.5369423583406263,-0.7387383492856279,winter fall
offen,2.9396214121432886,-0.23895740537816806,0.7136259834967766,-0.25907030533977654,-0.46086629628477815,offen
fall offen,2.146514819705954,0.07547788351643274,-0.17993035444574387,0.055364983554824394,-0.14643100739017717,fall offen
offen bleib,2.0900283916952134,0.06342287123404088,-0.15326249208894896,0.0820328459116192,-0.11976314503338252,offen bleib
bekräftigten,2.0085809135093418,0.04455790096316563,-0.11351330120821455,0.12178203679235369,-0.08001395415264799,bekräftigten
das bekräftig,2.0085809135093418,0.04455790096316563,-0.11351330120821455,0.12178203679235369,-0.08001395415264799,das bekräftig
bekräftig kultusminister,1.9432263434541635,0.027985715217770827,-0.08043449701372204,0.15486084098684616,-0.046935149958155405,bekräftig kultusminister
innen,1.9044071115314885,0.01746204910437475,-0.06025557425612999,0.17503976374443808,-0.026756227200563334,innen
kultusminister innen,1.9044071115314885,0.01746204910437475,-0.06025557425612999,0.17503976374443808,-0.026756227200563334,kultusminister innen
innen land,1.8842510371533279,0.011780968683358277,-0.049615255835597095,0.18568008216497106,-0.016115908780030483,innen land
erneut,2.5980603007163103,0.1497103408419992,-0.37084997007776277,-0.13555463207719468,-0.33735062302219626,erneut
land erneut,1.862666648245046,0.005523745527987948,-0.038093984498021836,0.19720135350254644,-0.004594637442455261,land erneut
was neu,1.8412077639540105,-0.0008829619191550978,-0.02650659140353537,0.20878874659703273,0.006992755652031128,was neu
Infektionsschutzgesetzt,1.8353826490451892,-0.0026551813172873283,-0.023337829518929147,0.21195750848163916,0.010161517536637632,Infektionsschutzgesetzt
neu infektionsschutzgesetzt,1.8353826490451892,-0.0026551813172873283,-0.023337829518929147,0.21195750848163916,0.010161517536637632,neu infektionsschutzgesetzt
bereits,6.533776463756953,0.18898969663153836,-0.6265182024831749,1.4376012748280376,-1.2595705959592924,bereits
infektionsschutzgesetzt bereits,1.8117143103807227,-0.01000664996218752,-0.010358371498831462,0.2249369665017368,0.023140975556735166,infektionsschutzgesetzt bereits
garantiert,1.8050803354228009,-0.012111710577657907,-0.0066899396152106045,0.22860539838535746,0.026809407440355808,garantiert
bereits garantier,1.8050803354228009,-0.012111710577657907,-0.0066899396152106045,0.22860539838535746,0.026809407440355808,bereits garantier
könne…,1.7932422075535839,-0.01591805453527125,-0.00011011224403062953,0.23518522575653755,0.033389234811536064,könne…
garantier könne…,1.7932422075535839,-0.01591805453527125,-0.00011011224403062953,0.23518522575653755,0.033389234811536064,garantier könne…
+4821,1.7879293295518348,-0.01764748585575223,0.0028570072276240675,0.23815234522819226,0.03635635428319069,+4821
könne… +4821,1.7879293295518348,-0.01764748585575223,0.0028570072276240675,0.23815234522819226,0.03635635428319069,könne… +4821
+4821 chars,1.7841734472143491,-0.018878123322269104,0.0049599051319136585,0.2402552431324819,0.038459252187480336,+4821 chars
Niemand,2.518157675659715,0.1388601179867852,-0.33961239472715254,-0.10431705672658428,-0.3061130476715858,Niemand
